path,file_type,status,categories_pd,counts_by_category,uz_level,estimated_volume,processing_time_sec
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\%D0%B7%D0%B0%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5%20%D1%80%D0%B5%D0%BA%D1%82%D0%BE%D1%80%D1%83.docx,docx,ok,fio,fio:1,UZ-4,small,0.026
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\%D0%B7%D0%B0%D1%8F%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5.docx,docx,ok,address,address:1,UZ-4,small,0.0428
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\00175-Seguimiento-al-Programa-Anual-de-Disposicion-Final-de-Bienes-Muebles-no-utiles-2024.pdf,pdf,ok,,,NO_PD,none,0.0954
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\00176-Programa-Anual-de-Disposicion-Final-de-Bienes-Muebles-no-utiles-2025.pdf,pdf,ok,,,NO_PD,none,0.0288
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\00860-PRONTUARIO_Difusion_Digital.pdf,pdf,ok,,,NO_PD,none,0.0153
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\01.04.00.pdf,pdf,ok,,,NO_PD,none,0.0469
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\01.04.02 Прикладная математика и информатика.pdf,pdf,ok,,,NO_PD,none,0.0448
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\01.04.02.pdf,pdf,ok,,,NO_PD,none,0.0556
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\010301_B_3_16022018.pdf,pdf,ok,,,NO_PD,none,0.0295
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\010302_B_3_08022018.pdf,pdf,ok,,,NO_PD,none,0.0243
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\010303_B_3_08022018.pdf,pdf,ok,,,NO_PD,none,0.022
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\010401_M_3_13022018.pdf,pdf,ok,,,NO_PD,none,0.0225
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\010402_M_3_13022018.pdf,pdf,ok,,,NO_PD,none,0.0271
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\010403_M_3_13022018.pdf,pdf,ok,,,NO_PD,none,0.0217
C:\Coding\pytorchlabs\ПДнDataset\ПДнDataset\share\Прочее\010501_C_3_12022018.pdf,pdf,ok,,,NO_PD,none,0.0215
